,date,monitor-1-temp-color,monitor-1-temp-data,monitor-1-rehs-color,monitor-1-rehs-data,monitor-2-temp-color,monitor-2-temp-data,monitor-2-rehs-color,monitor-2-rehs-data,monitor-3-temp-color,monitor-3-temp-data,monitor-3-rehs-color,monitor-3-rehs-data,monitor-4-temp-color,monitor-4-temp-data,monitor-4-rehs-color,monitor-4-rehs-data,monitor-5-temp-color,monitor-5-temp-data,monitor-5-rehs-color,monitor-5-rehs-data
200,7/20/2021,green,28,green,36,green,27.5,red,6,green,26.5,red,9,green,26.5,red,19,,,,
201,7/21/2021,green,28,green,65,green,27.5,red,7,green,26.5,red,6,green,26,red,16,,,,
202,7/22/2021,green,27.5,green,68,green,26.5,red,6,green,25.5,red,6,green,25,red,10,,,,
203,7/23/2021,green,28,green,72,green,27,red,7,green,26,red,5,green,26,red,16,,,,
204,7/24/2021,green,28,green,70,green,27,red,6,green,26,red,6,green,26,red,10,,,,
205,7/25/2021,green,28,green,73,green,27,red,7,green,26,red,4,green,25.5,red,12,,,,
206,7/26/2021,green,28,green,80,green,27.5,red,6,green,26,red,5,green,26,red,17,,,,
207,7/27/2021,green,27.5,blue,82,green,27,blue,6,green,25.5,blue,7,green,25.5,blue,28,,,,
208,7/28/2021,green,26.5,blue,,green,25.5,blue,,green,23.5,blue,,green,23.5,blue,,,,,
209,7/29/2021,green,26.5,green,,green,25,red,,green,23,red,,green,23,red,,,,,
210,7/30/2021,green,27.5,green,67,green,27,red,4,green,25,red,3,green,24.5,red,22,,,,
211,7/31/2021,green,29.5,green,81,green,29,red,6,green,28,red,2,green,27.5,red,27,,,,
212,8/1/2021,green,28.5,green,80,green,28,red,7,green,26.5,red,4,green,26.5,red,31,,,,
213,8/2/2021,green,27,green,73,green,26.5,red,8,green,25.5,red,4,green,25,red,29,,,,
214,8/3/2021,green,27,green,79,green,26.5,red,10,green,25.5,red,6,green,25.5,red,27,,,,
215,8/4/2021,green,27.5,green,84,green,27,red,15,green,26.5,red,7,green,26,yellow,36,,,,
216,8/5/2021,green,28,green,80,green,27.5,red,16,green,26.5,red,12,green,26,red,48,,,,
217,8/6/2021,green,28,green,76,green,27.5,red,14,green,26.5,red,5,green,26,yellow,33,,,,
218,8/7/2021,green,28,green,82,green,27.5,red,12,green,26.5,red,9,green,26,red,44,,,,
219,8/8/2021,green,27.5,green,77,green,27,red,10,green,25.5,red,7,green,25,red,25,,,,
220,8/9/2021,green,28,yellow,83,green,27.5,red,12,green,26,red,8,green,26,red,33,,,,
221,8/10/2021,green,27,red,54,green,26.5,red,10,green,25,red,7,green,24.5,red,31,,,,
222,8/11/2021,green,27,green,28,green,27,red,12,green,25.5,red,6,green,25,red,34,,,,
223,8/12/2021,green,27,green,72,green,27,red,12,green,25.5,red,6,green,25.5,yellow,36,,,,
224,8/13/2021,green,26,green,70,green,25.5,red,14,green,24,red,14,green,23.5,green,51,,,,
225,8/14/2021,green,26,green,65,green,25.5,red,14,green,23.5,red,14,green,23,green,82,,,,
226,8/15/2021,green,26,green,67,green,25.5,red,17,green,24,red,16,green,23,red,70,,,,
227,8/16/2021,green,26.5,green,72,green,26,red,17,green,25,red,7,green,24.5,green,33,,,,
228,8/17/2021,green,27,green,81,green,26.5,red,20,green,25,red,9,green,24.5,red,65,,,,
229,8/18/2021,green,27,green,80,green,26.5,red,21,green,25,red,8,green,24.5,yellow,36,,,,
230,8/19/2021,green,27,green,74,green,26.5,red,22,green,25,red,10,green,24.5,red,46,,,,
231,8/20/2021,green,26.5,green,76,green,26,red,25,green,24.5,red,8,green,24,yellow,34,,,,
232,8/21/2021,green,26.5,green,79,green,26,red,22,green,24.5,red,14,green,24,red,50,,,,
233,8/22/2021,green,26.5,green,79,green,26,red,26,green,25,red,10,green,24.5,green,29,,,,
234,8/23/2021,green,26,green,64,green,25,red,31,green,23.5,red,20,green,22.5,yellow,81,,,,
235,8/24/2021,green,26.5,green,78,green,25.5,red,25,green,24.5,red,15,green,24,yellow,49,,,,
236,8/25/2021,green,26,green,77,green,25.5,red,25,green,24,red,12,green,23.5,green,53,,,,
237,8/26/2021,green,25.5,green,77,green,24.5,red,32,green,23,red,18,green,23,green,85,,,,
238,8/27/2021,green,24.5,green,63,green,23,red,32,green,21.5,red,17,green,21,green,83,,,,
239,8/28/2021,green,24.5,green,69,green,23.5,yellow,34,green,22,red,16,green,21.5,green,82,,,,
240,8/29/2021,green,25,green,78,green,24.5,yellow,47,green,23,red,20,green,22.5,green,82,,,,
241,8/30/2021,green,26,green,83,green,25,yellow,44,green,24,red,21,green,23.5,green,76,,,,
242,8/31/2021,green,26.5,green,79,green,26,yellow,45,green,24.5,red,21,green,24,green,65,,,,
243,9/1/2021,green,24.5,green,74,green,23.5,yellow,48,green,22,red,31,green,21,green,92,,,,
244,9/2/2021,green,25,green,83,green,24,yellow,56,green,23,red,26,green,22,green,90,,,,
245,9/3/2021,green,25.5,blue,84,green,24.5,yellow,52,green,23,red,24,green,22.5,green,78,,,,
246,9/4/2021,green,25.5,blue,,yellow,24.5,green,54,yellow,23,red,31,yellow,22.5,green,92,,,,
247,9/5/2021,green,25,blue,,green,24,green,64,green,22,red,33,green,21,green,94,,,,
248,9/6/2021,green,25,green,,green,24,yellow,63,green,22.5,red,28,green,22,green,66,,,,
249,9/7/2021,green,25,green,77,green,24,green,54,green,22.5,red,29,yellow,21.5,green,68,,,,
250,9/8/2021,green,24.5,green,80,green,24,green,64,green,22,red,34,green,21,green,89,,,,
251,9/9/2021,green,25,green,85,green,24.5,green,68,green,23,red,33,green,22,green,89,,,,
252,9/10/2021,green,26,green,90,green,25,green,67,green,24,red,33,green,23.5,green,77,,,,
253,9/11/2021,green,26,green,87,green,25,green,64,green,24,yellow,29,green,23.5,green,79,,,,
254,9/12/2021,green,26,green,88,green,25,green,70,green,24,yellow,44,green,23.5,green,89,,,,
255,9/13/2021,green,25.5,green,89,green,24.5,green,73,green,23,yellow,44,green,22.5,green,82,,,,
256,9/14/2021,green,25.5,green,88,green,24.5,green,72,green,23,yellow,53,green,22.5,green,80,,,,
257,9/15/2021,green,25.5,green,88,green,24.5,green,67,green,23,red,46,green,22.5,green,86,,,,
258,9/16/2021,green,25.5,green,87,green,24.5,green,72,green,23,red,35,green,23,green,81,,,,
259,9/17/2021,green,25.5,green,88,green,24.5,green,69,green,23,yellow,36,green,23,green,87,,,,
260,9/18/2021,green,25.5,green,87,green,24.5,green,65,green,23.5,yellow,50,green,23,green,80,,,,
261,9/19/2021,green,25,green,84,green,24.5,green,75,green,23,yellow,52,green,22,green,70,,,,
262,9/20/2021,green,24,green,85,green,24,green,76,green,22.5,yellow,54,green,21,green,91,,,,
263,9/21/2021,green,26,green,86,green,26,green,73,green,25,yellow,51,green,24.5,green,78,,,,
264,9/22/2021,green,25.5,green,81,green,25,green,69,green,24,yellow,48,green,23,green,81,,,,
265,9/23/2021,green,25.5,green,89,green,25,green,72,green,24,yellow,47,yellow,23.5,green,67,,,,
266,9/24/2021,green,25.5,blue,,green,25,blue,,green,24,blue,,green,23.5,blue,,,,,
267,9/25/2021,green,25,green,87,green,24.5,green,74,green,23,red,34,green,21.5,yellow,52,,,,
268,9/26/2021,green,24.5,green,84,green,23.5,green,67,green,22,red,32,green,21,yellow,53,,,,
269,9/27/2021,green,24,green,90,green,23.5,green,75,green,21.5,yellow,49,green,21,yellow,55,,,,
270,9/28/2021,green,23.5,green,84,green,23,green,72,green,21,yellow,56,green,19.5,green,68,,,,
271,9/29/2021,green,24.5,green,83,green,24,green,76,green,22.5,green,69,yellow,21.5,green,78,,,,
272,9/30/2021,green,25.5,green,91,green,25,green,78,yellow,24,green,70,yellow,23.5,green,94,,,,
273,10/1/2021,green,25.5,green,92,green,25,green,79,green,23.5,green,64,green,23,green,81,,,,
274,10/2/2021,green,25.5,green,97,green,25,green,80,green,23.5,yellow,54,green,23.5,green,76,,,,
